osmid,x,y
173088015,-79.834264,36.293714
173088052,-79.830124,36.293164
173088095,-79.8227562,36.2966911
173088179,-79.8129184,36.3054685
173088256,-79.8071691,36.3140348
173088274,-79.806716,36.3189591
173088310,-80.01992,36.44277
173088314,-79.762317,36.50376
173088328,-79.761697,36.502066
173088335,-79.762342,36.500378
173088361,-79.761876,36.502051
173088374,-79.982095,36.3224675
173088424,-80.0291626,36.3571942
173088427,-80.0288077,36.3571432
173088437,-79.82868,36.471752
173088450,-79.825507,36.471792
173088466,-79.8243705,36.4722052
173088476,-79.824226,36.473701
173088489,-79.710139,36.504458
173088496,-79.733985,36.333693
173088535,-79.7316359,36.3336049
173088544,-79.804212,36.277219
173088602,-79.804177,36.283305
173088610,-79.676769,36.35979
173088625,-79.6744563,36.3598182
173088629,-79.672476,36.359838
173088633,-79.67098,36.359947
173088640,-79.825961,36.464306
173088682,-79.8259286,36.4631352
173088696,-79.768793,36.518717
173088728,-79.768653,36.517655
173088736,-79.768184,36.517735
173088740,-79.768249,36.517327
173088813,-79.769359,36.518933
173088821,-79.9702441,36.4205293
173088840,-79.9737657,36.4216705
173088846,-79.974956,36.422035
173088854,-79.976675,36.422585
173088856,-79.977695,36.422935
173088864,-79.750597,36.518802
173088882,-79.751161,36.519944
173088892,-79.751419,36.521221
173088927,-79.752158,36.523726
173088994,-79.746039,36.531205
173089008,-79.745446,36.53214
173089014,-79.745014,36.533035
173089065,-79.737359,36.539844
173089099,-79.67291,36.363662
173089128,-79.642035,36.285863
173089141,-79.6419,36.284744
173089156,-79.641472,36.282556
173089161,-79.641365,36.281998
173089169,-79.632629,36.432315
173089202,-79.63752,36.433002
173089215,-79.639235,36.433144
173089251,-79.6474615,36.4326142
173089275,-79.65241,36.434063
173089313,-79.6403085,36.4371293
173089323,-79.668996,36.365555
173089330,-79.669594,36.365714
173089344,-79.671357,36.366136
173089351,-79.683467,36.352425
173089364,-79.683419,36.355134
173089368,-79.931513,36.256279
173089385,-79.931258,36.258085
173089415,-79.932445,36.258603
173089424,-79.760789,36.48991
173089433,-79.75794,36.490332
173089441,-79.754844,36.490827
173089453,-79.7521387,36.4913076
173089468,-79.750107,36.491637
173089472,-79.745661,36.492344
173089474,-79.7438083,36.4926186
173089476,-79.742152,36.492905
173089484,-79.7404485,36.4931628
173089495,-79.9709673,36.4117591
173089504,-79.97195,36.412602
173089510,-79.97316,36.412916
173089513,-79.973813,36.413086
173089521,-79.9670869,36.4113904
173089524,-79.968297,36.411678
173089526,-79.96953,36.411993
173089529,-79.9707488,36.4122988
173089538,-79.680724,36.349538
173089542,-79.680964,36.350256
173089553,-79.681065,36.351347
173089554,-79.681025,36.351768
173089561,-79.680968,36.352603
173089578,-79.682231,36.50425
173089593,-79.680179,36.504242
173089597,-79.676778,36.505256
173089600,-79.67606,36.505529
173089681,-79.672042,36.50881
173089717,-79.672814,36.511014
173089758,-79.670144,36.512523
173089794,-79.670593,36.514156
173089815,-79.680855,36.355147
